OrderDate,CustomerID,Category,Product,Quantity,UnitPrice,Region,Revenue,Month,DayOfWeek,IsWeekend
2025-03-06,CUST0190,Home & Kitchen,Non-Stick Pan,3,19.66,East,58.980000000000004,2025-03,Thursday,False
2025-09-21,CUST0263,Home & Kitchen,LED Lamp,3,62.58,South,187.74,2025-09,Sunday,True
2025-08-23,CUST0740,Toys,Plush Toy,3,21.65,South,64.94999999999999,2025-08,Saturday,True
2025-02-06,CUST0593,Apparel,Cotton T-Shirt,3,30.56,West,91.67999999999999,2025-02,Thursday,False
2025-11-24,CUST0793,Home & Kitchen,Non-Stick Pan,3,24.64,South,73.92,2025-11,Monday,False
2025-03-02,CUST0142,Beauty,Lip Balm Set,3,34.35,West,103.05000000000001,2025-03,Sunday,True
2025-08-30,CUST0718,Home & Kitchen,Throw Pillow,3,85.98,South,257.94,2025-08,Saturday,True
2025-09-12,CUST0200,Apparel,Running Shoes,3,94.05,East,282.15,2025-09,Friday,False
2025-06-11,CUST0425,Toys,RC Car,3,67.34,South,202.02,2025-06,Wednesday,False
2025-11-09,CUST0582,Electronics,Bluetooth Speaker,3,104.74,West,314.21999999999997,2025-11,Sunday,True
2025-08-08,CUST0494,Toys,RC Car,3,39.18,East,117.53999999999999,2025-08,Friday,False
2025-05-30,CUST0225,Apparel,Running Shoes,3,108.57,North,325.71,2025-05,Friday,False
2025-03-16,CUST0767,Beauty,Lip Balm Set,3,38.03,West,114.09,2025-03,Sunday,True
2025-03-17,CUST0474,Beauty,Makeup Brush Kit,3,31.3,West,93.9,2025-03,Monday,False
2025-05-09,CUST0339,Sports,Water Bottle,3,75.17,East,225.51,2025-05,Friday,False
2025-09-22,CUST0349,Apparel,Winter Jacket,3,40.22,North,120.66,2025-09,Monday,False
2025-04-12,CUST0605,Home & Kitchen,LED Lamp,3,21.06,West,63.17999999999999,2025-04,Saturday,True
2025-08-21,CUST0023,Beauty,Makeup Brush Kit,3,30.23,East,90.69,2025-08,Thursday,False
2025-09-10,CUST0599,Beauty,Makeup Brush Kit,3,48.67,East,146.01,2025-09,Wednesday,False
2025-10-30,CUST0651,Electronics,Wireless Earbuds,3,64.33,East,192.99,2025-10,Thursday,False
2025-03-08,CUST0410,Toys,Puzzle 1000pc,3,52.93,Unknown,158.79,2025-03,Saturday,True
2025-10-11,CUST0474,Beauty,Face Serum,3,41.37,South,124.10999999999999,2025-10,Saturday,True
2025-09-17,CUST0666,Toys,Building Blocks,3,73.31,East,219.93,2025-09,Wednesday,False
2025-10-13,CUST0733,Toys,Puzzle 1000pc,3,46.18,North,138.54,2025-10,Monday,False
2025-03-28,CUST0303,Sports,Dumbbell Set,3,19.59,North,58.769999999999996,2025-03,Friday,False
2025-10-27,CUST0219,Electronics,Wireless Earbuds,3,113.84,North,341.52,2025-10,Monday,False
2025-04-06,CUST0720,Apparel,Denim Jeans,3,30.9,North,92.69999999999999,2025-04,Sunday,True
2025-12-09,CUST0727,Electronics,Laptop Stand,3,188.88,East,566.64,2025-12,Tuesday,False
2025-01-13,CUST0407,Apparel,Winter Jacket,3,30.07,South,90.21000000000001,2025-01,Monday,False
2025-11-25,CUST0448,Toys,Puzzle 1000pc,3,6.05,East,18.15,2025-11,Tuesday,False
2025-08-20,CUST0546,Toys,Puzzle 1000pc,3,67.07,North,201.20999999999998,2025-08,Wednesday,False
2025-01-03,CUST0047,Apparel,Denim Jeans,3,44.64,West,133.92000000000002,2025-01,Friday,False
2025-10-29,CUST0780,Beauty,Makeup Brush Kit,3,27.42,West,82.26,2025-10,Wednesday,False
2025-12-05,CUST0599,Toys,Puzzle 1000pc,3,56.66,East,169.98,2025-12,Friday,False
2025-10-04,CUST0014,Beauty,Face Serum,3,54.63,South,163.89000000000001,2025-10,Saturday,True
2025-09-18,CUST0619,Toys,Plush Toy,3,20.21,North,60.63,2025-09,Thursday,False
2025-10-25,CUST0016,Apparel,Denim Jeans,3,84.52,West,253.56,2025-10,Saturday,True
2025-05-24,CUST0726,Beauty,Hair Dryer,3,26.83,South,80.49,2025-05,Saturday,True
2025-09-06,CUST0133,Beauty,Hair Dryer,3,30.77,Unknown,92.31,2025-09,Saturday,True
2025-12-03,CUST0385,Apparel,Cotton T-Shirt,3,66.9,South,200.70000000000002,2025-12,Wednesday,False
2025-11-11,CUST0198,Electronics,Smartwatch,3,91.56,South,274.68,2025-11,Tuesday,False
2025-11-01,CUST0512,Beauty,Lip Balm Set,3,13.25,South,39.75,2025-11,Saturday,True
2025-10-07,CUST0701,Electronics,Wireless Earbuds,3,17.72,South,53.16,2025-10,Tuesday,False
2025-04-02,CUST0013,Toys,Plush Toy,3,24.57,South,73.71000000000001,2025-04,Wednesday,False
2025-06-16,CUST0583,Toys,Puzzle 1000pc,3,77.51,South,232.53000000000003,2025-06,Monday,False
2025-11-03,CUST0755,Toys,Plush Toy,3,50.5,North,151.5,2025-11,Monday,False
2025-05-01,CUST0796,Apparel,Winter Jacket,3,86.97,East,260.90999999999997,2025-05,Thursday,False
2025-03-14,CUST0352,Sports,Resistance Bands,3,149.72,North,449.15999999999997,2025-03,Friday,False
2025-05-04,CUST0192,Beauty,Face Serum,3,9.55,Unknown,28.650000000000002,2025-05,Sunday,True
2025-07-29,CUST0618,Apparel,Winter Jacket,3,118.77,North,356.31,2025-07,Tuesday,False
2025-01-30,CUST0441,Apparel,Denim Jeans,3,40.97,East,122.91,2025-01,Thursday,False
2025-07-23,CUST0357,Sports,Water Bottle,3,58.48,South,175.44,2025-07,Wednesday,False
2025-06-11,CUST0238,Electronics,Wireless Earbuds,3,176.59,North,529.77,2025-06,Wednesday,False
2025-11-12,CUST0604,Beauty,Hair Dryer,3,59.71,East,179.13,2025-11,Wednesday,False
2025-07-19,CUST0570,Sports,Resistance Bands,3,110.29,North,330.87,2025-07,Saturday,True
2025-05-28,CUST0522,Toys,Puzzle 1000pc,3,7.11,East,21.330000000000002,2025-05,Wednesday,False
2025-11-17,CUST0467,Apparel,Cotton T-Shirt,3,37.51,North,112.53,2025-11,Monday,False
2025-06-15,CUST0117,Home & Kitchen,Blender,3,67.47,North,202.41,2025-06,Sunday,True
2025-11-13,CUST0510,Home & Kitchen,Non-Stick Pan,3,47.56,South,142.68,2025-11,Thursday,False
2025-07-17,CUST0726,Sports,Water Bottle,3,94.61,North,283.83,2025-07,Thursday,False
2025-06-05,CUST0095,Apparel,Running Shoes,3,27.56,South,82.67999999999999,2025-06,Thursday,False
2025-08-17,CUST0673,Home & Kitchen,Throw Pillow,3,20.29,Unknown,60.87,2025-08,Sunday,True
2025-12-09,CUST0646,Beauty,Face Serum,3,21.31,West,63.92999999999999,2025-12,Tuesday,False
2025-11-01,CUST0508,Home & Kitchen,Blender,3,76.52,South,229.56,2025-11,Saturday,True
2025-04-29,CUST0764,Sports,Resistance Bands,3,112.07,South,336.21,2025-04,Tuesday,False
2025-08-31,CUST0725,Apparel,Winter Jacket,3,48.5,West,145.5,2025-08,Sunday,True
2025-06-10,CUST0553,Electronics,Laptop Stand,3,210.84,North,632.52,2025-06,Tuesday,False
2025-10-16,CUST0216,Sports,Resistance Bands,3,22.38,North,67.14,2025-10,Thursday,False
2025-10-09,CUST0517,Apparel,Cotton T-Shirt,3,100.4,North,301.20000000000005,2025-10,Thursday,False
2025-01-31,CUST0112,Toys,Plush Toy,3,76.53,North,229.59,2025-01,Friday,False
2025-01-30,CUST0433,Apparel,Cotton T-Shirt,3,22.6,North,67.80000000000001,2025-01,Thursday,False
2025-11-01,CUST0772,Sports,Resistance Bands,3,148.99,Unknown,446.97,2025-11,Saturday,True
2025-10-08,CUST0392,Toys,Puzzle 1000pc,3,32.41,West,97.22999999999999,2025-10,Wednesday,False
2025-12-26,CUST0768,Sports,Yoga Mat,3,117.74,West,353.21999999999997,2025-12,Friday,False
2025-06-08,CUST0466,Toys,RC Car,3,64.97,East,194.91,2025-06,Sunday,True
2025-05-25,CUST0448,Toys,RC Car,3,37.9,North,113.69999999999999,2025-05,Sunday,True
2025-03-18,CUST0521,Electronics,Bluetooth Speaker,3,20.3,West,60.900000000000006,2025-03,Tuesday,False
2025-08-05,CUST0717,Toys,Building Blocks,3,51.52,East,154.56,2025-08,Tuesday,False
2025-04-29,CUST0125,Toys,Plush Toy,3,63.23,East,189.69,2025-04,Tuesday,False
2025-12-26,CUST0581,Toys,Building Blocks,3,42.59,East,127.77000000000001,2025-12,Friday,False
2025-01-13,CUST0250,Apparel,Winter Jacket,3,39.55,South,118.64999999999999,2025-01,Monday,False
2025-05-26,CUST0703,Toys,Plush Toy,3,36.21,West,108.63,2025-05,Monday,False
2025-08-03,CUST0608,Sports,Dumbbell Set,3,24.21,South,72.63,2025-08,Sunday,True
2025-06-13,CUST0789,Toys,RC Car,3,27.96,West,83.88,2025-06,Friday,False
2025-08-14,CUST0337,Toys,Plush Toy,3,71.47,North,214.41,2025-08,Thursday,False
2025-12-25,CUST0192,Toys,Plush Toy,3,75.16,North,225.48,2025-12,Thursday,False
2025-02-02,CUST0647,Toys,Building Blocks,3,9.9,West,29.700000000000003,2025-02,Sunday,True
2025-10-01,CUST0271,Sports,Yoga Mat,3,66.99,East,200.96999999999997,2025-10,Wednesday,False
2025-11-30,CUST0635,Sports,Resistance Bands,3,40.23,West,120.69,2025-11,Sunday,True
2025-05-07,CUST0373,Sports,Water Bottle,3,30.86,South,92.58,2025-05,Wednesday,False
2025-09-25,CUST0681,Electronics,Laptop Stand,3,128.47,North,385.40999999999997,2025-09,Thursday,False
2025-09-28,CUST0608,Home & Kitchen,Throw Pillow,3,68.19,South,204.57,2025-09,Sunday,True
2025-03-18,CUST0560,Apparel,Winter Jacket,3,23.56,South,70.67999999999999,2025-03,Tuesday,False
2025-09-28,CUST0338,Electronics,Bluetooth Speaker,3,81.05,North,243.14999999999998,2025-09,Sunday,True
2025-09-18,CUST0427,Sports,Resistance Bands,3,100.42,South,301.26,2025-09,Thursday,False
2025-04-03,CUST0388,Home & Kitchen,Blender,3,40.07,South,120.21000000000001,2025-04,Thursday,False
2025-10-01,CUST0488,Electronics,Smartwatch,3,198.62,East,595.86,2025-10,Wednesday,False
2025-05-30,CUST0768,Electronics,Laptop Stand,3,165.04,South,495.12,2025-05,Friday,False
2025-04-18,CUST0348,Beauty,Makeup Brush Kit,3,46.87,West,140.60999999999999,2025-04,Friday,False
2025-11-08,CUST0640,Beauty,Makeup Brush Kit,3,29.73,South,89.19,2025-11,Saturday,True
2025-04-26,CUST0346,Home & Kitchen,Throw Pillow,3,18.07,South,54.21,2025-04,Saturday,True
2025-10-21,CUST0526,Beauty,Makeup Brush Kit,3,50.35,West,151.05,2025-10,Tuesday,False
2025-01-04,CUST0647,Beauty,Lip Balm Set,3,43.5,North,130.5,2025-01,Saturday,True
2025-12-03,CUST0784,Sports,Water Bottle,3,87.98,South,263.94,2025-12,Wednesday,False
2025-01-31,CUST0318,Apparel,Denim Jeans,3,10.86,North,32.58,2025-01,Friday,False
2025-12-22,CUST0738,Sports,Dumbbell Set,3,145.24,South,435.72,2025-12,Monday,False
2025-09-14,CUST0631,Beauty,Face Serum,3,54.36,West,163.07999999999998,2025-09,Sunday,True
2025-06-13,CUST0168,Home & Kitchen,LED Lamp,3,88.32,North,264.96,2025-06,Friday,False
2025-12-19,CUST0122,Apparel,Winter Jacket,3,16.07,West,48.21,2025-12,Friday,False
2025-09-26,CUST0525,Home & Kitchen,Throw Pillow,3,12.65,North,37.95,2025-09,Friday,False
2025-12-07,CUST0742,Toys,Building Blocks,3,48.86,South,146.57999999999998,2025-12,Sunday,True
2025-01-27,CUST0065,Electronics,Laptop Stand,3,177.52,South,532.5600000000001,2025-01,Monday,False
2025-07-21,CUST0624,Beauty,Face Serum,3,21.82,West,65.46000000000001,2025-07,Monday,False
2025-06-06,CUST0089,Sports,Dumbbell Set,3,116.58,South,349.74,2025-06,Friday,False
2025-05-05,CUST0292,Apparel,Winter Jacket,3,106.92,East,320.76,2025-05,Monday,False
2025-05-24,CUST0389,Beauty,Face Serum,3,26.65,South,79.94999999999999,2025-05,Saturday,True
2025-07-18,CUST0600,Electronics,Wireless Earbuds,3,171.89,South,515.67,2025-07,Friday,False
2025-08-01,CUST0672,Home & Kitchen,Blender,3,19.88,East,59.64,2025-08,Friday,False
2025-11-23,CUST0548,Apparel,Cotton T-Shirt,3,75.06,South,225.18,2025-11,Sunday,True
2025-04-02,CUST0655,Sports,Yoga Mat,3,97.0,West,291.0,2025-04,Wednesday,False
2025-04-24,CUST0500,Home & Kitchen,LED Lamp,3,28.28,East,84.84,2025-04,Thursday,False
2025-12-10,CUST0287,Home & Kitchen,LED Lamp,4,23.72,East,94.88,2025-12,Wednesday,False
2025-08-23,CUST0024,Electronics,Bluetooth Speaker,1,153.28,South,153.28,2025-08,Saturday,True
2025-12-17,CUST0354,Apparel,Denim Jeans,2,74.48,North,148.96,2025-12,Wednesday,False
2025-09-23,CUST0413,Apparel,Denim Jeans,2,108.54,South,217.08,2025-09,Tuesday,False
2025-06-27,CUST0561,Sports,Dumbbell Set,3,147.27,South,441.81000000000006,2025-06,Friday,False
2025-06-02,CUST0397,Home & Kitchen,Throw Pillow,1,47.07,Unknown,47.07,2025-06,Monday,False
2025-03-12,CUST0720,Toys,Building Blocks,1,34.11,South,34.11,2025-03,Wednesday,False
2025-11-28,CUST0172,Home & Kitchen,LED Lamp,5,87.1,East,435.5,2025-11,Friday,False
2025-10-24,CUST0278,Beauty,Makeup Brush Kit,4,14.87,West,59.48,2025-10,Friday,False
2025-11-13,CUST0666,Electronics,Wireless Earbuds,2,34.39,South,68.78,2025-11,Thursday,False
2025-03-25,CUST0638,Electronics,Laptop Stand,3,33.21,West,99.63,2025-03,Tuesday,False
2025-01-08,CUST0627,Beauty,Makeup Brush Kit,3,47.45,West,142.35000000000002,2025-01,Wednesday,False
2025-03-30,CUST0581,Electronics,Smartwatch,5,64.69,West,323.45,2025-03,Sunday,True
2025-06-12,CUST0650,Sports,Dumbbell Set,4,105.52,South,422.08,2025-06,Thursday,False
2025-11-14,CUST0378,Sports,Yoga Mat,5,84.02,East,420.09999999999997,2025-11,Friday,False
2025-02-12,CUST0012,Toys,Plush Toy,1,27.95,North,27.95,2025-02,Wednesday,False
2025-08-18,CUST0224,Toys,RC Car,2,62.32,East,124.64,2025-08,Monday,False
2025-09-20,CUST0228,Home & Kitchen,Throw Pillow,2,51.01,North,102.02,2025-09,Saturday,True
2025-08-31,CUST0189,Toys,Building Blocks,3,42.5,South,127.5,2025-08,Sunday,True
2025-05-10,CUST0390,Sports,Dumbbell Set,2,31.71,North,63.42,2025-05,Saturday,True
2025-05-10,CUST0552,Electronics,Bluetooth Speaker,2,20.28,North,40.56,2025-05,Saturday,True
2025-05-01,CUST0585,Electronics,Laptop Stand,3,191.03,South,573.09,2025-05,Thursday,False
2025-01-19,CUST0149,Sports,Water Bottle,3,33.39,South,100.17,2025-01,Sunday,True
2025-06-26,CUST0313,Toys,Plush Toy,5,61.16,North,305.79999999999995,2025-06,Thursday,False
2025-12-10,CUST0215,Apparel,Winter Jacket,3,89.61,South,268.83,2025-12,Wednesday,False
2025-11-13,CUST0084,Sports,Yoga Mat,2,116.84,West,233.68,2025-11,Thursday,False
2025-07-03,CUST0607,Beauty,Lip Balm Set,5,50.92,West,254.60000000000002,2025-07,Thursday,False
2025-01-18,CUST0448,Beauty,Lip Balm Set,3,7.14,South,21.419999999999998,2025-01,Saturday,True
2025-04-03,CUST0055,Toys,RC Car,3,17.49,West,52.47,2025-04,Thursday,False
2025-10-01,CUST0271,Sports,Yoga Mat,3,66.99,Unknown,200.96999999999997,2025-10,Wednesday,False
2025-09-18,CUST0528,Toys,Puzzle 1000pc,1,25.37,North,25.37,2025-09,Thursday,False
2025-10-26,CUST0285,Apparel,Cotton T-Shirt,4,98.6,North,394.4,2025-10,Sunday,True
2025-10-11,CUST0791,Electronics,Smartwatch,3,156.31,South,468.93,2025-10,Saturday,True
2025-12-29,CUST0546,Beauty,Face Serum,3,13.46,North,40.38,2025-12,Monday,False
2025-07-16,CUST0365,Apparel,Denim Jeans,2,30.56,South,61.12,2025-07,Wednesday,False
2025-10-06,CUST0163,Beauty,Face Serum,2,54.82,East,109.64,2025-10,Monday,False
2025-09-30,CUST0424,Sports,Water Bottle,5,130.9,South,654.5,2025-09,Tuesday,False
2025-05-22,CUST0424,Sports,Resistance Bands,1,142.55,North,142.55,2025-05,Thursday,False
2025-10-24,CUST0582,Apparel,Winter Jacket,2,20.3,West,40.6,2025-10,Friday,False
2025-11-23,CUST0548,Apparel,Cotton T-Shirt,5,75.06,South,375.3,2025-11,Sunday,True
2025-12-25,CUST0090,Toys,Puzzle 1000pc,1,35.59,South,35.59,2025-12,Thursday,False
2025-11-01,CUST0047,Sports,Dumbbell Set,3,99.99,South,299.96999999999997,2025-11,Saturday,True
2025-10-07,CUST0132,Electronics,Smartwatch,5,26.4,West,132.0,2025-10,Tuesday,False
2025-10-20,CUST0037,Electronics,Smartwatch,3,198.99,North,596.97,2025-10,Monday,False
2025-11-19,CUST0206,Apparel,Winter Jacket,3,49.35,South,148.05,2025-11,Wednesday,False
2025-04-11,CUST0369,Toys,Building Blocks,5,64.5,East,322.5,2025-04,Friday,False
2025-03-30,CUST0102,Home & Kitchen,Throw Pillow,5,79.22,South,396.1,2025-03,Sunday,True
2025-05-30,CUST0490,Toys,Plush Toy,1,68.5,South,68.5,2025-05,Friday,False
2025-10-14,CUST0633,Sports,Dumbbell Set,2,142.01,North,284.02,2025-10,Tuesday,False
2025-05-04,CUST0193,Toys,Building Blocks,2,77.29,East,154.58,2025-05,Sunday,True
2025-06-26,CUST0262,Electronics,Laptop Stand,1,127.09,North,127.09,2025-06,Thursday,False
2025-03-20,CUST0799,Apparel,Running Shoes,2,107.49,Unknown,214.98,2025-03,Thursday,False
2025-10-04,CUST0506,Apparel,Winter Jacket,4,31.59,North,126.36,2025-10,Saturday,True
2025-05-19,CUST0776,Apparel,Running Shoes,3,14.41,South,43.230000000000004,2025-05,Monday,False
2025-03-31,CUST0666,Electronics,Laptop Stand,2,174.52,East,349.04,2025-03,Monday,False
2025-12-05,CUST0633,Apparel,Winter Jacket,2,25.78,West,51.56,2025-12,Friday,False
2025-11-05,CUST0241,Home & Kitchen,LED Lamp,2,11.17,West,22.34,2025-11,Wednesday,False
2025-11-29,CUST0212,Apparel,Cotton T-Shirt,1,96.49,East,96.49,2025-11,Saturday,True
2025-11-26,CUST0470,Toys,Plush Toy,1,61.32,North,61.32,2025-11,Wednesday,False
2025-05-14,CUST0574,Toys,Building Blocks,2,11.21,East,22.42,2025-05,Wednesday,False
2025-01-17,CUST0676,Apparel,Winter Jacket,1,60.8,Unknown,60.8,2025-01,Friday,False
2025-08-05,CUST0188,Apparel,Cotton T-Shirt,5,63.01,West,315.05,2025-08,Tuesday,False
2025-10-09,CUST0202,Sports,Dumbbell Set,2,82.51,South,165.02,2025-10,Thursday,False
2025-03-10,CUST0619,Electronics,Wireless Earbuds,5,48.23,West,241.14999999999998,2025-03,Monday,False
2025-11-29,CUST0619,Home & Kitchen,Non-Stick Pan,2,24.46,West,48.92,2025-11,Saturday,True
2025-07-31,CUST0711,Home & Kitchen,Throw Pillow,3,40.09,North,120.27000000000001,2025-07,Thursday,False
2025-12-03,CUST0077,Apparel,Cotton T-Shirt,5,30.18,North,150.9,2025-12,Wednesday,False
2025-09-22,CUST0330,Sports,Resistance Bands,3,134.0,West,402.0,2025-09,Monday,False
2025-06-25,CUST0273,Toys,Plush Toy,4,19.42,North,77.68,2025-06,Wednesday,False
2025-02-27,CUST0357,Sports,Dumbbell Set,4,107.07,South,428.28,2025-02,Thursday,False
2025-01-01,CUST0400,Toys,Building Blocks,4,66.81,West,267.24,2025-01,Wednesday,False
2025-01-27,CUST0535,Electronics,Bluetooth Speaker,3,104.2,North,312.6,2025-01,Monday,False
2025-12-15,CUST0273,Sports,Yoga Mat,5,99.97,South,499.85,2025-12,Monday,False
2025-10-23,CUST0151,Electronics,Laptop Stand,1,173.04,East,173.04,2025-10,Thursday,False
2025-08-20,CUST0650,Beauty,Lip Balm Set,5,33.5,North,167.5,2025-08,Wednesday,False
2025-02-04,CUST0103,Beauty,Hair Dryer,3,55.17,North,165.51,2025-02,Tuesday,False
2025-03-20,CUST0353,Beauty,Makeup Brush Kit,3,34.66,East,103.97999999999999,2025-03,Thursday,False
2025-05-11,CUST0443,Beauty,Lip Balm Set,3,17.28,South,51.84,2025-05,Sunday,True
2025-11-14,CUST0521,Sports,Water Bottle,1,37.4,North,37.4,2025-11,Friday,False
2025-02-16,CUST0447,Apparel,Winter Jacket,4,11.1,West,44.4,2025-02,Sunday,True
2025-08-21,CUST0293,Beauty,Face Serum,1,53.97,East,53.97,2025-08,Thursday,False
2025-02-06,CUST0582,Home & Kitchen,LED Lamp,3,58.73,West,176.19,2025-02,Thursday,False
2025-04-20,CUST0597,Electronics,Bluetooth Speaker,3,26.95,North,80.85,2025-04,Sunday,True
2025-01-25,CUST0202,Sports,Water Bottle,2,89.25,West,178.5,2025-01,Saturday,True
2025-09-19,CUST0133,Beauty,Hair Dryer,3,43.85,South,131.55,2025-09,Friday,False
2025-11-25,CUST0169,Home & Kitchen,Blender,5,79.93,North,399.65000000000003,2025-11,Tuesday,False
2025-01-01,CUST0136,Sports,Dumbbell Set,4,129.68,North,518.72,2025-01,Wednesday,False
2025-11-08,CUST0608,Home & Kitchen,Throw Pillow,3,28.86,West,86.58,2025-11,Saturday,True
2025-05-30,CUST0016,Apparel,Cotton T-Shirt,4,13.76,South,55.04,2025-05,Friday,False
2025-02-13,CUST0560,Electronics,Bluetooth Speaker,3,102.48,West,307.44,2025-02,Thursday,False
2025-09-14,CUST0564,Toys,Puzzle 1000pc,4,49.35,West,197.4,2025-09,Sunday,True
2025-12-02,CUST0676,Apparel,Winter Jacket,5,24.67,East,123.35000000000001,2025-12,Tuesday,False
2025-05-05,CUST0532,Apparel,Denim Jeans,2,35.39,South,70.78,2025-05,Monday,False
2025-09-30,CUST0124,Home & Kitchen,Throw Pillow,1,9.0,North,9.0,2025-09,Tuesday,False
2025-09-27,CUST0022,Beauty,Face Serum,5,35.76,West,178.79999999999998,2025-09,Saturday,True
2025-04-14,CUST0748,Beauty,Face Serum,1,42.49,East,42.49,2025-04,Monday,False
2025-04-24,CUST0626,Apparel,Winter Jacket,2,27.15,West,54.3,2025-04,Thursday,False
2025-02-20,CUST0398,Apparel,Winter Jacket,4,19.42,West,77.68,2025-02,Thursday,False
2025-06-27,CUST0353,Sports,Dumbbell Set,5,82.89,East,414.45,2025-06,Friday,False
2025-07-20,CUST0758,Sports,Dumbbell Set,1,80.26,West,80.26,2025-07,Sunday,True
2025-04-02,CUST0453,Apparel,Winter Jacket,2,63.38,South,126.76,2025-04,Wednesday,False
2025-12-17,CUST0196,Apparel,Cotton T-Shirt,4,25.48,East,101.92,2025-12,Wednesday,False
2025-08-19,CUST0018,Apparel,Winter Jacket,4,72.41,East,289.64,2025-08,Tuesday,False
2025-06-20,CUST0113,Apparel,Cotton T-Shirt,5,80.93,South,404.65000000000003,2025-06,Friday,False
2025-11-09,CUST0737,Beauty,Hair Dryer,2,25.92,East,51.84,2025-11,Sunday,True
2025-12-16,CUST0529,Beauty,Face Serum,3,53.24,East,159.72,2025-12,Tuesday,False
2025-01-15,CUST0281,Electronics,Bluetooth Speaker,5,239.81,Unknown,1199.05,2025-01,Wednesday,False
2025-09-19,CUST0035,Electronics,Smartwatch,5,32.7,East,163.5,2025-09,Friday,False
2025-02-01,CUST0476,Sports,Resistance Bands,5,75.61,East,378.05,2025-02,Saturday,True
2025-06-06,CUST0028,Home & Kitchen,LED Lamp,3,57.71,West,173.13,2025-06,Friday,False
2025-11-26,CUST0525,Sports,Water Bottle,4,85.77,South,343.08,2025-11,Wednesday,False
2025-06-23,CUST0791,Electronics,Bluetooth Speaker,2,178.6,South,357.2,2025-06,Monday,False
2025-04-04,CUST0115,Apparel,Cotton T-Shirt,4,97.08,West,388.32,2025-04,Friday,False
2025-11-20,CUST0128,Apparel,Cotton T-Shirt,5,61.43,North,307.15,2025-11,Thursday,False
2025-03-25,CUST0554,Home & Kitchen,LED Lamp,2,83.91,West,167.82,2025-03,Tuesday,False
